阅读量,评价数,标题,情感,详情页,作者,最后更新,影响力,文章内容,评价
1494,0,股票000816翻倍很容易，000001翻倍很难。,负,"http://guba.eastmoney.com/news,000001,895939208.html",股友kHe5ti,2020/1/3 12:20,3,,
1390,2,顶背离，赶紧跑，头部,负,"http://guba.eastmoney.com/news,000001,895907627.html",黄庆帅668,2020/1/3 10:55,25,,不懂就别说出来给人笑，还顶背离-----傻子。我这里有药
1527,3,海螺水泥和这个那个好？谢谢各位大佬,负,"http://guba.eastmoney.com/news,000001,895861846.html",股友哈里,2020/1/3 9:47,2,,平安很平安-----都不错，都属于低估-----看主力，都属于周期性股，涨的时候要稳，跌的时候会跑。
1334,1,平安垃圾,负,"http://guba.eastmoney.com/news,000001,895797512.html",龙尾巴,2020/1/2 20:42,2,,傻傻分不清楚
1124,0,大盘涨那么多你也没站稳17，哎,负,"http://guba.eastmoney.com/news,000001,895715795.html",股票大鼠,2020/1/2 14:21,25,,
1009,0,怎么样？这傻逼庄就是拉不上17,负,"http://guba.eastmoney.com/news,000001,895685045.html",别虾扯蛋,2020/1/2 13:25,2,,
964,0,大盘大跌将要开始，连着三个跳空缺口，第三个缺口后大,负,"http://guba.eastmoney.com/news,000001,895676725.html",赵前九,2020/1/2 13:15,35,,
935,0,去年涨的猛了今年横盘,负,"http://guba.eastmoney.com/news,000001,895666370.html",yfass11,2020/1/2 12:20,25,,
1098,0,一群大手压单，还涨个辟[兴奋],负,"http://guba.eastmoney.com/news,000001,895625400.html",股友061toO,2020/1/2 10:48,15,,
750,0,反正不买，随便骗,负,"http://guba.eastmoney.com/news,000001,895614222.html",風雾霾,2020/1/2 10:29,25,,
768,0,真不争气，看看招行，害不害臊,负,"http://guba.eastmoney.com/news,000001,895612168.html",溜溜呦呦,2020/1/2 10:26,2,,
873,3,平安兄弟，看看招行大哥,负,"http://guba.eastmoney.com/news,000001,895606029.html",股友hwPV4I,2020/1/2 10:18,2,,兄弟，看招行，你丫的-----招行创历史新高-----兄弟，看招行，你丫的-----跟着招行买股票买基金才知道，今天涨了
741,0,你看看你爹,负,"http://guba.eastmoney.com/news,000001,895600551.html",回本从此不看,2020/1/2 10:10,1,,
741,0,一地鸡毛。。。,负,"http://guba.eastmoney.com/news,000001,895593274.html",我才不当韭菜,2020/1/2 9:59,15,,
796,0,是垃圾股，老子要知道，前天买宁波银行，这两个银行选,负,"http://guba.eastmoney.com/news,000001,895592889.html",股友NL2QgO,2020/1/2 9:59,15,,
728,0,什么玩意儿？,负,"http://guba.eastmoney.com/news,000001,895592502.html",Feng无忧,2020/1/2 9:58,15,,
714,0,又是那一套高开低走,负,"http://guba.eastmoney.com/news,000001,895590447.html",股友v9QQBj,2020/1/2 9:54,2,,
748,0,这个购鈤的,负,"http://guba.eastmoney.com/news,000001,895592360.html",股票大鼠,2020/1/2 9:54,25,,
768,0,平安银行老态毕露,负,"http://guba.eastmoney.com/news,000001,895589455.html",风清云淡大盘红,2020/1/2 9:53,25,,
680,0,！边个扑街一直在卖,负,"http://guba.eastmoney.com/news,000001,895588569.html",Renduermai,2020/1/2 9:52,1,,
706,0,突然发现今天还是亏损状态，我还以为你们突然十七，我,负,"http://guba.eastmoney.com/news,000001,895586616.html",股友H5xRXK,2020/1/2 9:48,15,,
647,0,就知道你早泄,负,"http://guba.eastmoney.com/news,000001,895583786.html",溜溜呦呦,2020/1/2 9:44,2,,
651,0,拉稀,负,"http://guba.eastmoney.com/news,000001,895583359.html",别虾扯蛋,2020/1/2 9:43,2,,
1347,1,1月份是商誉减值高峰期，投资者要回避有高商誉个股,负,"http://guba.eastmoney.com/news,000001,895461054.html",依故历史,2020/1/1 16:26,4,,股市里不适合你，去做包攒钱。
1188,0,股票000816翻倍很容易，000001翻倍很难。,负,"http://guba.eastmoney.com/news,000001,895454455.html",股友kHe5ti,2020/1/1 14:39,3,,
1476,1,大盘这么好它就不涨。,负,"http://guba.eastmoney.com/news,000001,895361858.html",中秋r123,2020/12/31 15:26,25,,一年涨了百分之80了。今年有几个股能和平安银行比啊！
1214,0,不要脸的东西,负,"http://guba.eastmoney.com/news,000001,895357337.html",股友5SHN9D,2020/12/31 15:07,2,,
1389,1,银行都怎么了,负,"http://guba.eastmoney.com/news,000001,895327586.html",漏断人初静,2020/12/31 14:20,35,,萎了，要到二月再开花
1283,2,拖后腿的狗东西,负,"http://guba.eastmoney.com/news,000001,895320350.html",股友RmUSpO,2020/12/31 14:20,2,,狗只会拖前腿，这个连狗都不如。-----狗只会拖前腿，这个连狗都不如。-----平常心
1240,0,买啥啥跌，卖啥啥涨！韭菜哦韭菜,负,"http://guba.eastmoney.com/news,000001,895326234.html",叉叉你,2020/12/31 14:16,2,,
1204,1,傻掉，大盘红了,负,"http://guba.eastmoney.com/news,000001,895311503.html",我要自由呜呜呜,2020/12/31 13:50,2,,大盘红跟这个没关系
976,0,我操我操他妈割了去买水泥,负,"http://guba.eastmoney.com/news,000001,895311405.html",A股寻雷,2020/12/31 13:49,25,,
972,0,狗b垃圾去常熟银行,负,"http://guba.eastmoney.com/news,000001,895304845.html",A股寻雷,2020/12/31 13:36,25,,
955,0,你是来砸盘的吗？,负,"http://guba.eastmoney.com/news,000001,895302468.html",股友1OMQEF,2020/12/31 13:32,2,,
950,0,块砸,负,"http://guba.eastmoney.com/news,000001,895297101.html",A股寻雷,2020/12/31 13:21,25,,
1000,0,平安银行这个样子，一看就是出货。韭菜们赶紧跑吧。别,负,"http://guba.eastmoney.com/news,000001,895291411.html",我才不当韭菜,2020/12/31 13:07,15,,
893,0,去死吧傻鸟银行,负,"http://guba.eastmoney.com/news,000001,895268966.html",A股寻雷,2020/12/31 11:26,25,,
872,0,银行还被套，没法玩了,负,"http://guba.eastmoney.com/news,000001,895262333.html",我要自由呜呜呜,2020/12/31 11:09,2,,
844,1,走了没戏了下午肯定被套,负,"http://guba.eastmoney.com/news,000001,895259646.html",A股寻雷,2020/12/31 11:03,25,,昨天就应走了，银行暂时有利空。
968,1,看着这么揪心啊,负,"http://guba.eastmoney.com/news,000001,895258341.html",招财100亿,2020/12/31 11:01,15,,配合券商出货
846,0,有拉稀了,负,"http://guba.eastmoney.com/news,000001,895256837.html",股友D6bYWs,2020/12/31 10:59,5,,
1073,3,看这屁量就是出货初期阶段。,负,"http://guba.eastmoney.com/news,000001,895222521.html",把你推倒,2020/12/31 10:55,35,,跑吧？-----银行不拉感觉大市上不去啊-----银行不拉感觉大市上不去啊-----印花
753,0,这走势是要套人的节奏草泥马,负,"http://guba.eastmoney.com/news,000001,895238693.html",A股寻雷,2020/12/31 10:29,25,,
1027,4,这只票的稳定性好差啊！属于小盘次新股,负,"http://guba.eastmoney.com/news,000001,895237107.html",干兴仔玩绿啤,2020/12/31 10:27,2,,3000多亿市值的小盘？？哈哈哈-----3000多亿市值的小盘？？哈哈哈-----他目前这个股性与小盘股有区别吗-----看月线，平安银行也是银行股的异类，确实能涨不过能涨的前提是非常能跌，这是平安银行与招商、宁波的不同或者叫差距-----你说中信属于什么盘？
862,0,平安银行就是砸盘工具,负,"http://guba.eastmoney.com/news,000001,895226951.html",股友ey6uPt,2020/12/31 10:11,2,,
811,0,瓜皮,负,"http://guba.eastmoney.com/news,000001,895226795.html",陈二刀,2020/12/31 10:11,5,,
856,0,你最辣鸡,负,"http://guba.eastmoney.com/news,000001,895226080.html",三十年小韭菜,2020/12/31 10:10,2,,
